task,dataset,objective,noise_std_fraction,seed,final_loss,eval_trustworthiness,eval_neighborhood_recall,eval_silhouette,eval_knn_accuracy
tsne,mnist,fisher_rao,0.25,202,1.3872838020324707,0.7856260162601626,0.3735,-0.07420875877141953,0.6333333333333333
tsne,mnist,kl,0.25,303,0.6092894077301025,0.797490514905149,0.38699999999999996,0.036561381071805954,0.6666666666666666
tsne,mnist,fisher_rao,0.25,303,1.3194445371627808,0.7813658536585366,0.38,-0.04865279048681259,0.6666666666666666
tsne,mnist,kl,0.25,404,0.643497884273529,0.8000623306233062,0.40299999999999997,-0.00563263101503253,0.6666666666666666
tsne,mnist,fisher_rao,0.25,404,1.2959527969360352,0.8036937669376694,0.4065,-0.036437369883060455,0.55
tsne,mnist,kl,0.25,505,0.6041905879974365,0.7982682926829269,0.40549999999999997,0.04868052154779434,0.6333333333333333
tsne,mnist,fisher_rao,0.25,505,1.2937452793121338,0.795739837398374,0.39100000000000007,-0.014151650480926037,0.65
tsne,mnist,kl,0.5,101,0.6924096345901489,0.7818482384823848,0.36950000000000005,-0.026036128401756287,0.6166666666666667
tsne,mnist,fisher_rao,0.5,101,1.424336552619934,0.7828970189701897,0.3705,-0.08784277737140656,0.5833333333333334
tsne,mnist,kl,0.5,202,0.7241023778915405,0.7782411924119241,0.37200000000000005,-0.017922496423125267,0.6333333333333333
tsne,mnist,fisher_rao,0.5,202,1.4176121950149536,0.7853495934959349,0.36349999999999993,-0.09363662451505661,0.5666666666666667
tsne,mnist,kl,0.5,303,0.6183182001113892,0.8042574525745257,0.395,0.04190298169851303,0.6833333333333333
tsne,mnist,fisher_rao,0.5,303,1.343653917312622,0.7982439024390244,0.375,-0.05084829404950142,0.6333333333333333
tsne,mnist,kl,0.5,404,0.6612054705619812,0.8102411924119242,0.40549999999999997,-0.06036274507641792,0.6833333333333333
tsne,mnist,fisher_rao,0.5,404,1.374585747718811,0.7964417344173442,0.39349999999999996,-0.03664011508226395,0.6
tsne,mnist,kl,0.5,505,0.6389629244804382,0.7930921409214092,0.3935,0.04798058420419693,0.6666666666666666
tsne,mnist,fisher_rao,0.5,505,1.3243557214736938,0.8023712737127371,0.39599999999999996,0.00033673763391561806,0.6333333333333333
tsne,mnist,kl,0.75,101,0.7620715498924255,0.7946585365853659,0.376,-0.08101975172758102,0.5666666666666667
tsne,mnist,fisher_rao,0.75,101,1.4862513542175293,0.7733224932249323,0.375,-0.08910049498081207,0.6333333333333333
tsne,mnist,kl,0.75,202,0.7369776368141174,0.7924959349593497,0.35100000000000003,-0.06987684220075607,0.6166666666666667
tsne,mnist,fisher_rao,0.75,202,1.514708161354065,0.776289972899729,0.354,-0.08057260513305664,0.65
tsne,mnist,kl,0.75,303,0.6947969198226929,0.8041382113821138,0.3825,0.03934586048126221,0.6333333333333333
tsne,mnist,fisher_rao,0.75,303,1.4751224517822266,0.7771355013550135,0.36150000000000004,-0.031232113018631935,0.6333333333333333
tsne,mnist,kl,0.75,404,0.7494325637817383,0.788940379403794,0.3605,-0.029256414622068405,0.65
tsne,mnist,fisher_rao,0.75,404,1.4492520093917847,0.8023631436314363,0.3885,-0.060374364256858826,0.6
tsne,mnist,kl,0.75,505,0.7041804790496826,0.7853495934959349,0.3685,0.05813869461417198,0.6166666666666667
tsne,mnist,fisher_rao,0.75,505,1.4649732112884521,0.786840108401084,0.3505,-0.04857347160577774,0.6
tsne,mnist,kl,1.0,101,0.8256199359893799,0.7735582655826558,0.34600000000000003,-0.044996365904808044,0.55
tsne,mnist,fisher_rao,1.0,101,1.6144297122955322,0.7752520325203252,0.342,-0.04628856107592583,0.5833333333333334
tsne,mnist,kl,1.0,202,0.8111097812652588,0.7810623306233062,0.3509999999999999,-0.054349664598703384,0.5
tsne,mnist,fisher_rao,1.0,202,1.65762197971344,0.7752113821138211,0.35350000000000004,-0.03716941922903061,0.5666666666666667
tsne,mnist,kl,1.0,303,0.8117063045501709,0.7872384823848239,0.3505,0.01326335221529007,0.7166666666666667
tsne,mnist,fisher_rao,1.0,303,1.6402162313461304,0.7800894308943089,0.33549999999999996,-0.06788301467895508,0.6333333333333333
tsne,mnist,kl,1.0,404,0.7736371755599976,0.7882845528455285,0.342,0.04512941464781761,0.6666666666666666
tsne,mnist,fisher_rao,1.0,404,1.5877660512924194,0.7797425474254742,0.35950000000000004,-0.07099612057209015,0.6
tsne,mnist,kl,1.0,505,0.8060472011566162,0.7760813008130081,0.32299999999999995,-0.0046200864017009735,0.5333333333333333
tsne,mnist,fisher_rao,1.0,505,1.6643391847610474,0.7719512195121951,0.33799999999999997,-0.05677027627825737,0.6666666666666666
