condition,seed,step,fr_rd_to_final,final_test_acc
clean,2,70,0.33733758330345154,0.9740740656852722
clean,2,80,0.2712172269821167,0.9740740656852722
clean,2,90,0.22340498864650726,0.9740740656852722
clean,2,100,0.18804769217967987,0.9740740656852722
clean,2,110,0.16007213294506073,0.9740740656852722
clean,2,120,0.13716277480125427,0.9740740656852722
clean,2,130,0.1176837831735611,0.9740740656852722
clean,2,140,0.10104132443666458,0.9740740656852722
clean,2,150,0.08662188053131104,0.9740740656852722
clean,2,160,0.07425883412361145,0.9740740656852722
clean,2,170,0.06358787417411804,0.9740740656852722
clean,2,180,0.05441062152385712,0.9740740656852722
clean,2,190,0.046442147344350815,0.9740740656852722
clean,2,200,0.03949283808469772,0.9740740656852722
clean,2,210,0.03336365520954132,0.9740740656852722
clean,2,220,0.027929550036787987,0.9740740656852722
clean,2,230,0.023091701790690422,0.9740740656852722
clean,2,240,0.018763983622193336,0.9740740656852722
clean,2,250,0.014868348836898804,0.9740740656852722
clean,2,260,0.011339496821165085,0.9740740656852722
clean,2,270,0.008128560148179531,0.9740740656852722
clean,2,280,0.005189553834497929,0.9740740656852722
clean,2,290,0.0024687766563147306,0.9740740656852722
clean,2,300,8.77076163305901e-05,0.9740740656852722
clean,3,10,2.314054489135742,0.9777777791023254
clean,3,20,1.974075436592102,0.9777777791023254
clean,3,30,1.426247000694275,0.9777777791023254
clean,3,40,0.9312410354614258,0.9777777791023254
clean,3,50,0.6083917021751404,0.9777777791023254
clean,3,60,0.4288802146911621,0.9777777791023254
clean,3,70,0.33002904057502747,0.9777777791023254
clean,3,80,0.26642149686813354,0.9777777791023254
clean,3,90,0.22095564007759094,0.9777777791023254
clean,3,100,0.1852511614561081,0.9777777791023254
clean,3,110,0.15670351684093475,0.9777777791023254
clean,3,120,0.13345696032047272,0.9777777791023254
clean,3,130,0.11398570239543915,0.9777777791023254
clean,3,140,0.09766964614391327,0.9777777791023254
clean,3,150,0.08377902209758759,0.9777777791023254
clean,3,160,0.07187331467866898,0.9777777791023254
clean,3,170,0.0616375096142292,0.9777777791023254
clean,3,180,0.0527881495654583,0.9777777791023254
clean,3,190,0.045089419931173325,0.9777777791023254
clean,3,200,0.03836291283369064,0.9777777791023254
clean,3,210,0.0324249193072319,0.9777777791023254
clean,3,220,0.027150845155119896,0.9777777791023254
clean,3,230,0.022455032914876938,0.9777777791023254
clean,3,240,0.01824423111975193,0.9777777791023254
clean,3,250,0.014452182687819004,0.9777777791023254
clean,3,260,0.011022129096090794,0.9777777791023254
clean,3,270,0.007888519205152988,0.9777777791023254
clean,3,280,0.005035023204982281,0.9777777791023254
clean,3,290,0.0024041745346039534,0.9777777791023254
clean,3,300,7.745845505269244e-05,0.9777777791023254
clean,4,10,2.29179048538208,0.979629635810852
clean,4,20,1.9224190711975098,0.979629635810852
clean,4,30,1.3492549657821655,0.979629635810852
clean,4,40,0.8913507461547852,0.979629635810852
clean,4,50,0.6073687672615051,0.979629635810852
clean,4,60,0.4449748396873474,0.979629635810852
clean,4,70,0.34698519110679626,0.979629635810852
clean,4,80,0.2806561291217804,0.979629635810852
