experiment,dataset,corruption_type,stress_level,objective,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_n,eval_nll_mean,eval_nll_std,eval_nll_n,eval_ece_mean,eval_ece_std,eval_ece_n,eval_brier_mean,eval_brier_std,eval_brier_n,eval_mean_true_probability_mean,eval_mean_true_probability_std,eval_mean_true_probability_n,eval_train_corrupted_fraction_mean,eval_train_corrupted_fraction_std,eval_train_corrupted_fraction_n,eval_teacher_accuracy_mean,eval_teacher_accuracy_std,eval_teacher_accuracy_n,eval_teacher_error_imitation_mean,eval_teacher_error_imitation_std,eval_teacher_error_imitation_n,eval_accuracy_on_teacher_wrong_mean,eval_accuracy_on_teacher_wrong_std,eval_accuracy_on_teacher_wrong_n,eval_teacher_student_js_mean,eval_teacher_student_js_std,eval_teacher_student_js_n
distillation,digits,high_temperature,0.3,kl,0.9159259259259258,0.011653431646335007,10,0.41026231944561004,0.09901621254892391,10,0.051045926235340267,0.012623931103965131,10,0.13238051980733873,0.01779311660272197,10,0.9077769577503204,0.008866351481213834,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.8004874046821987,0.07762620159740931,10,0.06968064147268953,0.06304399965677318,10,0.01654626093804836,0.0024611238983504972,10
distillation,digits,high_temperature,0.3,kl_capped,0.46296296296296297,0.07584307433781566,10,1.8051218867301941,0.20293237653071963,10,0.1959037300144081,0.035796351716086895,10,0.6962332904338837,0.08274304117753305,10,0.4253784120082855,0.06663157793560692,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.4625612712726557,0.05380388323322562,10,0.1675066444502943,0.07089340566999598,10,0.309856453537941,0.038730380338630556,10
distillation,digits,high_temperature,0.3,kl_smoothed,0.9137037037037038,0.011975945000274348,10,0.4440182387828827,0.10499481051389079,10,0.05597048287590345,0.009516328669835887,10,0.13772996440529822,0.020043120211442802,10,0.9079306066036225,0.010558346331085912,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.8074023741629576,0.07938975944901354,10,0.0714389920511202,0.04480917535366957,10,0.0175865032710135,0.0024801414109379776,10
distillation,digits,low_temperature,0.1,fisher_rao,0.9418518518518519,0.00949092893520127,10,0.3849928468465805,0.117322185251689,10,0.04640910649741138,0.0069177355788989136,10,0.10101340785622596,0.015716020394150914,10,0.9388672232627868,0.008393019916049658,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.6306210019711163,0.049013861431302055,10,0.23566581675849413,0.05592772657155572,10,0.015124732442200185,0.003090443053427101,10
distillation,digits,low_temperature,0.1,hellinger,0.9407407407407409,0.009279812579242545,10,0.3874534144997597,0.118848830459458,10,0.04579157970017859,0.008489324666143083,10,0.10044262632727623,0.016195263336327873,10,0.9389740288257599,0.008763646472628594,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.6313679717355347,0.05356439504502271,10,0.23927556454158289,0.05276189535168194,10,0.016221140697598457,0.0033040602959966995,10
distillation,digits,low_temperature,0.1,jensen_shannon,0.9412962962962963,0.009116178456344484,10,0.3869061186909676,0.10507882586363403,10,0.046894542933614156,0.00781756129149402,10,0.10160504058003425,0.015075663096637692,10,0.9385623037815094,0.00840514201745285,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.5674368862097695,0.09876918304373801,10,0.2812785735669031,0.09358296183004443,10,0.019312136247754096,0.004419315011990247,10
distillation,digits,low_temperature,0.1,kl,0.9412962962962963,0.009484904860373356,10,0.3473179742693901,0.09479656411015625,10,0.042283253128881794,0.006564394025503679,10,0.09834543988108635,0.014326705392824494,10,0.9371322333812714,0.008124424366975266,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.7609414645112587,0.0986287652268548,10,0.14397629376176288,0.06121901722928576,10,0.006894314638338983,0.0035471530913885017,10
distillation,digits,low_temperature,0.1,kl_capped,0.916111111111111,0.029006434911418976,10,0.7846393197774887,0.4398909419479156,10,0.07101578791936239,0.02513108490650735,10,0.15066010728478432,0.051326039859998555,10,0.9144281029701233,0.028092436474012265,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.5022847444786803,0.06493329390764226,10,0.308733146762323,0.0579214470835628,10,0.03990261256694794,0.02011065894411993,10
distillation,digits,low_temperature,0.1,kl_smoothed,0.9418518518518519,0.009922731504893903,10,0.3552481785416603,0.1110655555174627,10,0.041485459970103375,0.007810426106033792,10,0.09862282052636147,0.014048482843141297,10,0.9370940506458283,0.00795050828939283,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.7530467276691534,0.1059970675141517,10,0.15180355422060227,0.06640844481594081,10,0.007333495793864131,0.003692652914678193,10
distillation,digits,low_temperature,0.3,fisher_rao,0.9420370370370369,0.009157881228717645,10,0.38526422828435897,0.12076180322249122,10,0.04513827097084787,0.007179240054295989,10,0.09952720403671264,0.01572962988327534,10,0.9397508800029755,0.00837313786826018,10,1.0,0.0,10,0.9403703703703703,0.009791298794517697,10,0.636257770173674,0.046724115955036984,10,0.22350323883933726,0.05107273381305881,10,0.015265215560793877,0.0028989970320581356,10
