noise_regime,schedule,seed,switch_epoch,eval_accuracy,eval_ece,eval_brier,eval_nll
sym_40,gce,3,0,0.7535,0.09852827095985411,0.3643830896889166,0.8285351395606995
sym_60,adaptive_fr_gce,3,10,0.61,0.08067658446729181,0.5311877299631359,1.2166005373001099
sym_60,fixed30_fr_gce,3,30,0.576,0.06344785529375077,0.5754715752017414,1.3406087160110474
sym_60,fisher_rao,3,-1,0.461,0.10129791560769082,0.7069274893555464,1.7589982748031616
sym_60,gce,3,0,0.612,0.11888968975096942,0.5360837973849193,1.2500702142715454
asym_40,adaptive_fr_gce,3,10,0.579,0.15596011328697207,0.6126883215341689,1.355483889579773
asym_40,fixed30_fr_gce,3,30,0.5735,0.14656823459267615,0.5967645459250568,1.2934104204177856
asym_40,fisher_rao,3,-1,0.551,0.18908521351218224,0.6385521888395137,1.4371291399002075
asym_40,gce,3,0,0.548,0.20442054028064013,0.6389828672517247,1.4268211126327515
sym_40,adaptive_fr_gce,4,32,0.729,0.07355685029923914,0.3811447115931543,0.8523353934288025
sym_40,fixed30_fr_gce,4,30,0.7465,0.06371248215436934,0.36788373823976805,0.8273268938064575
sym_40,fisher_rao,4,-1,0.6755,0.058772042706608775,0.45297293141926154,1.0398273468017578
sym_40,gce,4,0,0.754,0.09487795194983478,0.351943528572536,0.7880842089653015
sym_60,adaptive_fr_gce,4,10,0.6055,0.08800392471253873,0.5291142973752703,1.194675326347351
sym_60,fixed30_fr_gce,4,30,0.5785,0.06672022090852261,0.5648243517227233,1.300755262374878
sym_60,fisher_rao,4,-1,0.467,0.08469910761713983,0.6938777781968581,1.669574499130249
sym_60,gce,4,0,0.6265,0.10362505543231962,0.5218931438069003,1.212121844291687
asym_40,adaptive_fr_gce,4,10,0.5775,0.15873098421096804,0.5905690082421245,1.2929188013076782
asym_40,fixed30_fr_gce,4,30,0.5805,0.13751925486326216,0.5714046257114319,1.2172921895980835
asym_40,fisher_rao,4,-1,0.545,0.19858798590302468,0.64611152710847,1.3820922374725342
asym_40,gce,4,0,0.57,0.19260603901743892,0.6171076978518983,1.3603055477142334
