cond_a,seed_a,cond_b,seed_b,acc_a,acc_b,acc_diff,fr_rd,cka,weight_l2
clean,1,noisy_30,4,0.979629635810852,0.7185184955596924,0.26111114025115967,1.0403261184692383,0.5535003542900085,26.939912796020508
clean,1,noisy_60,0,0.979629635810852,0.42222222685813904,0.557407408952713,1.8293068408966064,0.4343275725841522,29.836700439453125
clean,1,noisy_60,1,0.979629635810852,0.43518519401550293,0.5444444417953491,1.8098870515823364,0.5198940634727478,21.439292907714844
clean,1,noisy_60,2,0.979629635810852,0.42407408356666565,0.5555555522441864,1.8295406103134155,0.4716874659061432,30.0048770904541
clean,1,noisy_60,3,0.979629635810852,0.4185185134410858,0.5611111223697662,1.7939529418945312,0.5397356152534485,29.906850814819336
clean,1,noisy_60,4,0.979629635810852,0.4407407343387604,0.5388889014720917,1.7994232177734375,0.4911353290081024,30.082767486572266
clean,1,fr_loss,0,0.979629635810852,0.979629635810852,0.0,0.07494307309389114,0.9517145156860352,20.339479446411133
clean,1,fr_loss,1,0.979629635810852,0.9777777791023254,0.0018518567085266113,0.028333628550171852,0.9980605244636536,1.8624221086502075
clean,1,fr_loss,2,0.979629635810852,0.9722222089767456,0.007407426834106445,0.0813085064291954,0.9563143253326416,20.498388290405273
clean,1,fr_loss,3,0.979629635810852,0.9759259223937988,0.0037037134170532227,0.07546273618936539,0.9574790000915527,20.590370178222656
clean,1,fr_loss,4,0.979629635810852,0.979629635810852,0.0,0.07646053284406662,0.9570930600166321,20.61739730834961
clean,1,smoothed,0,0.979629635810852,0.9851852059364319,0.005555570125579834,0.6604076027870178,0.9125489592552185,19.497350692749023
clean,1,smoothed,1,0.979629635810852,0.9925925731658936,0.012962937355041504,0.6615886688232422,0.934693455696106,5.505589962005615
clean,1,smoothed,2,0.979629635810852,0.9870370626449585,0.007407426834106445,0.6668047308921814,0.8993602395057678,19.62527084350586
clean,1,smoothed,3,0.979629635810852,0.9925925731658936,0.012962937355041504,0.6709796190261841,0.9203039407730103,19.74273681640625
clean,1,smoothed,4,0.979629635810852,0.9851852059364319,0.005555570125579834,0.6677447557449341,0.9140750765800476,19.760099411010742
clean,2,clean,3,0.9740740656852722,0.9777777791023254,0.0037037134170532227,0.06693936884403229,0.960802435874939,20.206571578979492
clean,2,clean,4,0.9740740656852722,0.979629635810852,0.005555570125579834,0.07462591677904129,0.9627501368522644,20.18362808227539
clean,2,noisy_30,0,0.9740740656852722,0.7462962865829468,0.22777777910232544,0.9532357454299927,0.6236664652824402,26.51511573791504
clean,2,noisy_30,1,0.9740740656852722,0.7388888597488403,0.23518520593643188,0.9872815012931824,0.5860086679458618,26.83491325378418
clean,2,noisy_30,2,0.9740740656852722,0.7277777791023254,0.24629628658294678,1.0599735975265503,0.5271812081336975,16.716096878051758
clean,2,noisy_30,3,0.9740740656852722,0.7351852059364319,0.23888885974884033,1.017460584640503,0.614645779132843,26.656129837036133
clean,2,noisy_30,4,0.9740740656852722,0.7185184955596924,0.25555557012557983,1.044968843460083,0.5807380676269531,26.755022048950195
clean,2,noisy_60,0,0.9740740656852722,0.42222222685813904,0.5518518388271332,1.8317487239837646,0.44551387429237366,29.626453399658203
clean,2,noisy_60,1,0.9740740656852722,0.43518519401550293,0.5388888716697693,1.8116919994354248,0.5064840912818909,29.978666305541992
clean,2,noisy_60,2,0.9740740656852722,0.42407408356666565,0.5499999821186066,1.8273359537124634,0.4896916449069977,21.222803115844727
clean,2,noisy_60,3,0.9740740656852722,0.4185185134410858,0.5555555522441864,1.7900532484054565,0.5342985987663269,29.695331573486328
clean,2,noisy_60,4,0.9740740656852722,0.4407407343387604,0.5333333313465118,1.8018079996109009,0.4946742057800293,29.879043579101562
clean,2,fr_loss,0,0.9740740656852722,0.979629635810852,0.005555570125579834,0.06963527947664261,0.961591899394989,20.32297134399414
clean,2,fr_loss,1,0.9740740656852722,0.9777777791023254,0.0037037134170532227,0.07201477140188217,0.9571631550788879,20.509981155395508
clean,2,fr_loss,2,0.9740740656852722,0.9722222089767456,0.0018518567085266113,0.03569125011563301,0.995668351650238,2.1020734310150146
clean,2,fr_loss,3,0.9740740656852722,0.9759259223937988,0.0018518567085266113,0.06433577090501785,0.960131824016571,20.44955062866211
clean,2,fr_loss,4,0.9740740656852722,0.979629635810852,0.005555570125579834,0.07628645747900009,0.9625799059867859,20.41620445251465
clean,2,smoothed,0,0.9740740656852722,0.9851852059364319,0.011111140251159668,0.6616100072860718,0.9190635681152344,19.494306564331055
clean,2,smoothed,1,0.9740740656852722,0.9925925731658936,0.018518507480621338,0.6668508052825928,0.9159113764762878,19.61456298828125
clean,2,smoothed,2,0.9740740656852722,0.9870370626449585,0.01296299695968628,0.6632381677627563,0.9311121702194214,5.398091793060303
clean,2,smoothed,3,0.9740740656852722,0.9925925731658936,0.018518507480621338,0.6711822748184204,0.9254857897758484,19.600744247436523
clean,2,smoothed,4,0.9740740656852722,0.9851852059364319,0.011111140251159668,0.6722849607467651,0.9225300550460815,19.52347755432129
clean,3,clean,4,0.9777777791023254,0.979629635810852,0.0018518567085266113,0.06931454688310623,0.9583320021629333,20.224037170410156
clean,3,noisy_30,0,0.9777777791023254,0.7462962865829468,0.23148149251937866,0.9585455060005188,0.5972325801849365,26.630449295043945
clean,3,noisy_30,1,0.9777777791023254,0.7388888597488403,0.2388889193534851,0.9905385375022888,0.5788851976394653,27.018768310546875
clean,3,noisy_30,2,0.9777777791023254,0.7277777791023254,0.25,1.057572841644287,0.4985729455947876,26.653484344482422
clean,3,noisy_30,3,0.9777777791023254,0.7351852059364319,0.24259257316589355,1.0182092189788818,0.6287872195243835,16.96747398376465
clean,3,noisy_30,4,0.9777777791023254,0.7185184955596924,0.25925928354263306,1.0369793176651,0.5593488216400146,26.830270767211914
clean,3,noisy_60,0,0.9777777791023254,0.42222222685813904,0.5555555522441864,1.8264580965042114,0.42846593260765076,29.803756713867188
clean,3,noisy_60,1,0.9777777791023254,0.43518519401550293,0.5425925850868225,1.8075748682022095,0.5045266151428223,30.048704147338867
clean,3,noisy_60,2,0.9777777791023254,0.42407408356666565,0.5537036955356598,1.8270504474639893,0.45587268471717834,29.829906463623047
clean,3,noisy_60,3,0.9777777791023254,0.4185185134410858,0.5592592656612396,1.79336416721344,0.543265700340271,21.218788146972656
clean,3,noisy_60,4,0.9777777791023254,0.4407407343387604,0.5370370447635651,1.7996424436569214,0.4794929325580597,29.955841064453125
clean,3,fr_loss,0,0.9777777791023254,0.979629635810852,0.0018518567085266113,0.07040262222290039,0.9532727003097534,20.440872192382812
clean,3,fr_loss,1,0.9777777791023254,0.9777777791023254,0.0,0.07183720916509628,0.9578617811203003,20.553369522094727
clean,3,fr_loss,2,0.9777777791023254,0.9722222089767456,0.005555570125579834,0.07421284168958664,0.9589207768440247,20.363666534423828
clean,3,fr_loss,3,0.9777777791023254,0.9759259223937988,0.0018518567085266113,0.02457432635128498,0.9985215663909912,2.315113067626953
clean,3,fr_loss,4,0.9777777791023254,0.979629635810852,0.0018518567085266113,0.07184439897537231,0.957943320274353,20.462142944335938
clean,3,smoothed,0,0.9777777791023254,0.9851852059364319,0.007407426834106445,0.6586309671401978,0.9111782908439636,19.54851722717285
clean,3,smoothed,1,0.9777777791023254,0.9925925731658936,0.014814794063568115,0.6640193462371826,0.9091084599494934,19.66818618774414
clean,3,smoothed,2,0.9777777791023254,0.9870370626449585,0.009259283542633057,0.6644272208213806,0.9026628732681274,19.51926612854004
clean,3,smoothed,3,0.9777777791023254,0.9925925731658936,0.014814794063568115,0.6641709208488464,0.9327970147132874,5.570056438446045
clean,3,smoothed,4,0.9777777791023254,0.9851852059364319,0.007407426834106445,0.6644575595855713,0.9144368171691895,19.60940170288086
clean,4,noisy_30,0,0.979629635810852,0.7462962865829468,0.23333334922790527,0.9690034985542297,0.6041654944419861,26.45234489440918
clean,4,noisy_30,1,0.979629635810852,0.7388888597488403,0.24074077606201172,1.0007973909378052,0.5990157127380371,27.088144302368164
clean,4,noisy_30,2,0.979629635810852,0.7277777791023254,0.2518518567085266,1.0618348121643066,0.5111861228942871,26.586727142333984
clean,4,noisy_30,3,0.979629635810852,0.7351852059364319,0.24444442987442017,1.0245795249938965,0.6139089465141296,26.67157554626465
clean,4,noisy_30,4,0.979629635810852,0.7185184955596924,0.26111114025115967,1.0420175790786743,0.605344295501709,16.955894470214844
clean,4,noisy_60,0,0.979629635810852,0.42222222685813904,0.557407408952713,1.8350465297698975,0.45764026045799255,29.712547302246094
clean,4,noisy_60,1,0.979629635810852,0.43518519401550293,0.5444444417953491,1.8132301568984985,0.5153675079345703,30.113059997558594
clean,4,noisy_60,2,0.979629635810852,0.42407408356666565,0.5555555522441864,1.8317071199417114,0.47888341546058655,29.761329650878906
clean,4,noisy_60,3,0.979629635810852,0.4185185134410858,0.5611111223697662,1.7920845746994019,0.5437548160552979,29.73212432861328
clean,4,noisy_60,4,0.979629635810852,0.4407407343387604,0.5388889014720917,1.795691728591919,0.5129547119140625,21.368555068969727
clean,4,fr_loss,0,0.979629635810852,0.979629635810852,0.0,0.07574260979890823,0.9578781723976135,20.395587921142578
clean,4,fr_loss,1,0.979629635810852,0.9777777791023254,0.0018518567085266113,0.07360469549894333,0.9558984637260437,20.59058380126953
clean,4,fr_loss,2,0.979629635810852,0.9722222089767456,0.007407426834106445,0.08247004449367523,0.960246205329895,20.3478946685791
clean,4,fr_loss,3,0.979629635810852,0.9759259223937988,0.0037037134170532227,0.07218771427869797,0.958198606967926,20.472686767578125
clean,4,fr_loss,4,0.979629635810852,0.979629635810852,0.0,0.024904847145080566,0.9984994530677795,2.0747568607330322
clean,4,smoothed,0,0.979629635810852,0.9851852059364319,0.005555570125579834,0.6604032516479492,0.9091711044311523,19.55357551574707
clean,4,smoothed,1,0.979629635810852,0.9925925731658936,0.012962937355041504,0.6689670085906982,0.9041309356689453,19.719173431396484
clean,4,smoothed,2,0.979629635810852,0.9870370626449585,0.007407426834106445,0.6667444705963135,0.8918992280960083,19.50861167907715
clean,4,smoothed,3,0.979629635810852,0.9925925731658936,0.012962937355041504,0.672564685344696,0.909916877746582,19.647926330566406
clean,4,smoothed,4,0.979629635810852,0.9851852059364319,0.005555570125579834,0.6624398827552795,0.9248951077461243,5.8034539222717285
noisy_30,0,noisy_30,1,0.7462962865829468,0.7388888597488403,0.007407426834106445,1.3823013305664062,0.6077753305435181,31.89885902404785
noisy_30,0,noisy_30,2,0.7462962865829468,0.7277777791023254,0.018518507480621338,1.4153021574020386,0.6477454304695129,31.621158599853516
noisy_30,0,noisy_30,3,0.7462962865829468,0.7351852059364319,0.011111080646514893,1.4329943656921387,0.6642168164253235,31.674129486083984
noisy_30,0,noisy_30,4,0.7462962865829468,0.7185184955596924,0.027777791023254395,1.4474879503250122,0.5911077857017517,31.73747444152832
noisy_30,0,noisy_60,0,0.7462962865829468,0.42222222685813904,0.32407405972480774,1.97898268699646,0.6588075757026672,25.14290428161621
noisy_30,0,noisy_60,1,0.7462962865829468,0.43518519401550293,0.31111109256744385,1.9722461700439453,0.6944316029548645,34.17387008666992
noisy_30,0,noisy_60,2,0.7462962865829468,0.42407408356666565,0.32222220301628113,2.022096872329712,0.6641190648078918,34.402320861816406
noisy_30,0,noisy_60,3,0.7462962865829468,0.4185185134410858,0.32777777314186096,1.9837714433670044,0.6552780866622925,34.473690032958984
