experiment,dataset,corruption_type,stress_level,seed,objective,eval_accuracy,eval_nll,eval_ece,eval_brier,eval_mean_true_probability,eval_train_corrupted_fraction,eval_teacher_accuracy,eval_teacher_error_imitation,eval_accuracy_on_teacher_wrong,eval_teacher_student_js
distillation,digits,random_wrong,0.1,101,kl,0.8703703703703703,0.48232823610305786,0.025764855190559655,0.19870874285697937,0.7912009954452515,0.09785202863961814,0.9574074074074074,0.34782608695652173,0.43478260869565216,0.089051753282547
distillation,digits,random_wrong,0.1,101,kl_smoothed,0.9074074074074074,0.4338874816894531,0.05469667624544212,0.1537642627954483,0.892143189907074,0.09785202863961814,0.9574074074074074,0.6086956521739131,0.30434782608695654,0.04433443024754524
distillation,digits,random_wrong,0.1,101,kl_capped,0.9222222222222223,0.3761264383792877,0.055871890650855155,0.12294246256351471,0.9230079650878906,0.09785202863961814,0.9574074074074074,0.6086956521739131,0.13043478260869565,0.03277166932821274
distillation,digits,random_wrong,0.1,101,jensen_shannon,0.9574074074074074,0.21174386143684387,0.029578115542729738,0.07216841727495193,0.9531658291816711,0.09785202863961814,0.9574074074074074,0.5652173913043478,0.30434782608695654,0.015099689364433289
distillation,digits,random_wrong,0.1,101,hellinger,0.9518518518518518,0.18177317082881927,0.03572397530078893,0.0747024342417717,0.9505637884140015,0.09785202863961814,0.9574074074074074,0.6956521739130435,0.21739130434782608,0.011867242865264416
distillation,digits,random_wrong,0.1,101,fisher_rao,0.9481481481481482,0.20803381502628326,0.03654333617952135,0.08197371661663055,0.9473623037338257,0.09785202863961814,0.9574074074074074,0.6956521739130435,0.17391304347826086,0.010932177305221558
distillation,digits,random_wrong,0.3,101,kl,0.8407407407407408,0.7999268770217896,0.2265480216730524,0.3175516128540039,0.5747106671333313,0.294351630867144,0.9574074074074074,0.391304347826087,0.08695652173913043,0.18471574783325195
distillation,digits,random_wrong,0.3,101,kl_smoothed,0.8351851851851851,0.7943103909492493,0.21539567399907997,0.3161771297454834,0.5768679976463318,0.294351630867144,0.9574074074074074,0.43478260869565216,0.08695652173913043,0.18238188326358795
distillation,digits,random_wrong,0.3,101,kl_capped,0.3111111111111111,1.9396023750305176,0.11276497984374012,0.8119224905967712,0.24404647946357727,0.294351630867144,0.9574074074074074,0.43478260869565216,0.30434782608695654,0.41863906383514404
distillation,digits,random_wrong,0.3,101,jensen_shannon,0.9092592592592592,0.5139907002449036,0.0733549671040641,0.1565943956375122,0.9051626324653625,0.294351630867144,0.9574074074074074,0.34782608695652173,0.21739130434782608,0.05064165219664574
distillation,digits,random_wrong,0.3,101,hellinger,0.8962962962962963,0.577558696269989,0.07729349346072581,0.1812141388654709,0.8890703916549683,0.294351630867144,0.9574074074074074,0.43478260869565216,0.21739130434782608,0.054809603840112686
distillation,digits,random_wrong,0.3,101,fisher_rao,0.8777777777777778,0.6382519602775574,0.0902094422667115,0.2073267698287964,0.8726323246955872,0.294351630867144,0.9574074074074074,0.391304347826087,0.30434782608695654,0.06687121838331223
distillation,digits,class_confusion,0.1,101,kl,0.8666666666666667,0.49097940325737,0.029851577292989807,0.20647944509983063,0.8157349824905396,0.09785202863961814,0.9574074074074074,0.34782608695652173,0.391304347826087,0.08517515659332275
distillation,digits,class_confusion,0.1,101,kl_smoothed,0.9074074074074074,0.32062217593193054,0.027758307975751368,0.14643298089504242,0.8684072494506836,0.09785202863961814,0.9574074074074074,0.30434782608695654,0.4782608695652174,0.05801422521471977
distillation,digits,class_confusion,0.1,101,kl_capped,0.9351851851851852,0.448307603597641,0.04797030841862715,0.1097874641418457,0.9314908385276794,0.09785202863961814,0.9574074074074074,0.5652173913043478,0.2608695652173913,0.030449464917182922
distillation,digits,class_confusion,0.1,101,jensen_shannon,0.9555555555555556,0.20855306088924408,0.030643491722919358,0.07103626430034637,0.9543618559837341,0.09785202863961814,0.9574074074074074,0.5652173913043478,0.2608695652173913,0.017959468066692352
distillation,digits,class_confusion,0.1,101,hellinger,0.9518518518518518,0.24416963756084442,0.03351215013751282,0.08157575875520706,0.9486435651779175,0.09785202863961814,0.9574074074074074,0.5652173913043478,0.34782608695652173,0.018836183473467827
