task,dataset,objective,noise_std_fraction,seed,step,loss
tsne,blobs,kl,0.75,202,250,0.49610278010368347
tsne,blobs,kl,0.75,202,299,0.48593854904174805
tsne,blobs,fisher_rao,0.75,202,0,4.146862983703613
tsne,blobs,fisher_rao,0.75,202,50,1.763494610786438
tsne,blobs,fisher_rao,0.75,202,100,1.3264365196228027
tsne,blobs,fisher_rao,0.75,202,150,1.174644112586975
tsne,blobs,fisher_rao,0.75,202,200,1.0925225019454956
tsne,blobs,fisher_rao,0.75,202,250,1.0424062013626099
tsne,blobs,fisher_rao,0.75,202,299,1.0077571868896484
tsne,blobs,kl,0.75,303,0,1.8096299171447754
tsne,blobs,kl,0.75,303,50,0.7196946144104004
tsne,blobs,kl,0.75,303,100,0.557659387588501
tsne,blobs,kl,0.75,303,150,0.5058350563049316
tsne,blobs,kl,0.75,303,200,0.47824999690055847
tsne,blobs,kl,0.75,303,250,0.46249449253082275
tsne,blobs,kl,0.75,303,299,0.4526817500591278
tsne,blobs,fisher_rao,0.75,303,0,4.126114845275879
tsne,blobs,fisher_rao,0.75,303,50,1.6117501258850098
tsne,blobs,fisher_rao,0.75,303,100,1.2711950540542603
tsne,blobs,fisher_rao,0.75,303,150,1.1376540660858154
tsne,blobs,fisher_rao,0.75,303,200,1.0609571933746338
tsne,blobs,fisher_rao,0.75,303,250,1.0104209184646606
tsne,blobs,fisher_rao,0.75,303,299,0.9755961298942566
tsne,blobs,kl,0.75,404,0,1.8138456344604492
tsne,blobs,kl,0.75,404,50,0.7462751865386963
tsne,blobs,kl,0.75,404,100,0.6022621989250183
tsne,blobs,kl,0.75,404,150,0.5496989488601685
tsne,blobs,kl,0.75,404,200,0.5206555128097534
tsne,blobs,kl,0.75,404,250,0.49978578090667725
tsne,blobs,kl,0.75,404,299,0.48824238777160645
tsne,blobs,fisher_rao,0.75,404,0,4.12497615814209
tsne,blobs,fisher_rao,0.75,404,50,1.6924077272415161
tsne,blobs,fisher_rao,0.75,404,100,1.3234713077545166
tsne,blobs,fisher_rao,0.75,404,150,1.1831825971603394
tsne,blobs,fisher_rao,0.75,404,200,1.104191541671753
tsne,blobs,fisher_rao,0.75,404,250,1.053856372833252
tsne,blobs,fisher_rao,0.75,404,299,1.0191181898117065
tsne,blobs,kl,0.75,505,0,1.7943499088287354
tsne,blobs,kl,0.75,505,50,0.7682056427001953
tsne,blobs,kl,0.75,505,100,0.5994182825088501
tsne,blobs,kl,0.75,505,150,0.5456660985946655
tsne,blobs,kl,0.75,505,200,0.5187532901763916
tsne,blobs,kl,0.75,505,250,0.5031623840332031
tsne,blobs,kl,0.75,505,299,0.4934675693511963
tsne,blobs,fisher_rao,0.75,505,0,4.136507034301758
tsne,blobs,fisher_rao,0.75,505,50,1.8097941875457764
tsne,blobs,fisher_rao,0.75,505,100,1.402288556098938
tsne,blobs,fisher_rao,0.75,505,150,1.2541426420211792
tsne,blobs,fisher_rao,0.75,505,200,1.1783956289291382
tsne,blobs,fisher_rao,0.75,505,250,1.1316158771514893
tsne,blobs,fisher_rao,0.75,505,299,1.0999011993408203
tsne,blobs,kl,1.0,101,0,1.7654093503952026
tsne,blobs,kl,1.0,101,50,0.9901975989341736
tsne,blobs,kl,1.0,101,100,0.8078579902648926
tsne,blobs,kl,1.0,101,150,0.7363352179527283
tsne,blobs,kl,1.0,101,200,0.7064085602760315
tsne,blobs,kl,1.0,101,250,0.6907668709754944
tsne,blobs,kl,1.0,101,299,0.6813679933547974
tsne,blobs,fisher_rao,1.0,101,0,3.8213772773742676
tsne,blobs,fisher_rao,1.0,101,50,2.2223663330078125
tsne,blobs,fisher_rao,1.0,101,100,1.851894497871399
tsne,blobs,fisher_rao,1.0,101,150,1.7109262943267822
tsne,blobs,fisher_rao,1.0,101,200,1.6256191730499268
tsne,blobs,fisher_rao,1.0,101,250,1.5714454650878906
tsne,blobs,fisher_rao,1.0,101,299,1.5341569185256958
tsne,blobs,kl,1.0,202,0,1.7764008045196533
tsne,blobs,kl,1.0,202,50,0.8825485706329346
tsne,blobs,kl,1.0,202,100,0.7548195719718933
tsne,blobs,kl,1.0,202,150,0.7114259600639343
tsne,blobs,kl,1.0,202,200,0.6851450204849243
tsne,blobs,kl,1.0,202,250,0.6697674989700317
tsne,blobs,kl,1.0,202,299,0.6607823371887207
tsne,blobs,fisher_rao,1.0,202,0,3.876769781112671
tsne,blobs,fisher_rao,1.0,202,50,1.9753221273422241
tsne,blobs,fisher_rao,1.0,202,100,1.6425480842590332
tsne,blobs,fisher_rao,1.0,202,150,1.5085041522979736
tsne,blobs,fisher_rao,1.0,202,200,1.4321261644363403
tsne,blobs,fisher_rao,1.0,202,250,1.3833472728729248
tsne,blobs,fisher_rao,1.0,202,299,1.3501931428909302
tsne,blobs,kl,1.0,303,0,1.7699992656707764
tsne,blobs,kl,1.0,303,50,0.8630328178405762
tsne,blobs,kl,1.0,303,100,0.7210403680801392
tsne,blobs,kl,1.0,303,150,0.6697951555252075
tsne,blobs,kl,1.0,303,200,0.6429771184921265
tsne,blobs,kl,1.0,303,250,0.627122163772583
tsne,blobs,kl,1.0,303,299,0.6173794269561768
tsne,blobs,fisher_rao,1.0,303,0,3.8770763874053955
tsne,blobs,fisher_rao,1.0,303,50,1.988266944885254
tsne,blobs,fisher_rao,1.0,303,100,1.640756368637085
tsne,blobs,fisher_rao,1.0,303,150,1.4857993125915527
tsne,blobs,fisher_rao,1.0,303,200,1.4035228490829468
tsne,blobs,fisher_rao,1.0,303,250,1.3524142503738403
tsne,blobs,fisher_rao,1.0,303,299,1.3165096044540405
tsne,blobs,kl,1.0,404,0,1.7865016460418701
tsne,blobs,kl,1.0,404,50,0.954399585723877
tsne,blobs,kl,1.0,404,100,0.7894248962402344
tsne,blobs,kl,1.0,404,150,0.7369152903556824
tsne,blobs,kl,1.0,404,200,0.7114315629005432
tsne,blobs,kl,1.0,404,250,0.6962987184524536
tsne,blobs,kl,1.0,404,299,0.6869127154350281
tsne,blobs,fisher_rao,1.0,404,0,3.8874592781066895
tsne,blobs,fisher_rao,1.0,404,50,2.1016438007354736
tsne,blobs,fisher_rao,1.0,404,100,1.7359416484832764
tsne,blobs,fisher_rao,1.0,404,150,1.5862776041030884
tsne,blobs,fisher_rao,1.0,404,200,1.500647783279419
tsne,blobs,fisher_rao,1.0,404,250,1.4438364505767822
tsne,blobs,fisher_rao,1.0,404,299,1.40151846408844
tsne,blobs,kl,1.0,505,0,1.7904572486877441
tsne,blobs,kl,1.0,505,50,0.9526127576828003
tsne,blobs,kl,1.0,505,100,0.8129929900169373
tsne,blobs,kl,1.0,505,150,0.771787166595459
tsne,blobs,kl,1.0,505,200,0.7502310276031494
tsne,blobs,kl,1.0,505,250,0.7368457317352295
tsne,blobs,kl,1.0,505,299,0.7285587191581726
tsne,blobs,fisher_rao,1.0,505,0,3.9021739959716797
tsne,blobs,fisher_rao,1.0,505,50,2.194157838821411
tsne,blobs,fisher_rao,1.0,505,100,1.7863757610321045
tsne,blobs,fisher_rao,1.0,505,150,1.618510365486145
tsne,blobs,fisher_rao,1.0,505,200,1.5307490825653076
tsne,blobs,fisher_rao,1.0,505,250,1.4741861820220947
tsne,blobs,fisher_rao,1.0,505,299,1.432857632637024
tsne,digits,kl,0.0,101,0,1.7672265768051147
tsne,digits,kl,0.0,101,50,0.8531379699707031
tsne,digits,kl,0.0,101,100,0.6340587735176086
tsne,digits,kl,0.0,101,150,0.5584816932678223
tsne,digits,kl,0.0,101,200,0.5209105014801025
tsne,digits,kl,0.0,101,250,0.49805688858032227
tsne,digits,kl,0.0,101,299,0.4822835326194763
tsne,digits,fisher_rao,0.0,101,0,3.2516162395477295
tsne,digits,fisher_rao,0.0,101,50,1.754080057144165
tsne,digits,fisher_rao,0.0,101,100,1.2944986820220947
tsne,digits,fisher_rao,0.0,101,150,1.125752329826355
