experiment,dataset,corruption_type,stress_level,objective,baseline,eval_trustworthiness_n,eval_trustworthiness_mean_diff,eval_trustworthiness_wilcoxon_stat,eval_trustworthiness_wilcoxon_p,eval_trustworthiness_cliffs_delta,eval_trustworthiness_positive_seed_count,eval_trustworthiness_negative_seed_count,eval_trustworthiness_tie_seed_count,eval_trustworthiness_direction_consistency,eval_neighborhood_recall_n,eval_neighborhood_recall_mean_diff,eval_neighborhood_recall_wilcoxon_stat,eval_neighborhood_recall_wilcoxon_p,eval_neighborhood_recall_cliffs_delta,eval_neighborhood_recall_positive_seed_count,eval_neighborhood_recall_negative_seed_count,eval_neighborhood_recall_tie_seed_count,eval_neighborhood_recall_direction_consistency,eval_silhouette_n,eval_silhouette_mean_diff,eval_silhouette_wilcoxon_stat,eval_silhouette_wilcoxon_p,eval_silhouette_cliffs_delta,eval_silhouette_positive_seed_count,eval_silhouette_negative_seed_count,eval_silhouette_tie_seed_count,eval_silhouette_direction_consistency,eval_knn_accuracy_n,eval_knn_accuracy_mean_diff,eval_knn_accuracy_wilcoxon_stat,eval_knn_accuracy_wilcoxon_p,eval_knn_accuracy_cliffs_delta,eval_knn_accuracy_positive_seed_count,eval_knn_accuracy_negative_seed_count,eval_knn_accuracy_tie_seed_count,eval_knn_accuracy_direction_consistency,eval_local_label_purity_n,eval_local_label_purity_mean_diff,eval_local_label_purity_wilcoxon_stat,eval_local_label_purity_wilcoxon_p,eval_local_label_purity_cliffs_delta,eval_local_label_purity_positive_seed_count,eval_local_label_purity_negative_seed_count,eval_local_label_purity_tie_seed_count,eval_local_label_purity_direction_consistency,eval_corrupted_edge_preservation_n,eval_corrupted_edge_preservation_mean_diff,eval_corrupted_edge_preservation_wilcoxon_stat,eval_corrupted_edge_preservation_wilcoxon_p,eval_corrupted_edge_preservation_cliffs_delta,eval_corrupted_edge_preservation_positive_seed_count,eval_corrupted_edge_preservation_negative_seed_count,eval_corrupted_edge_preservation_tie_seed_count,eval_corrupted_edge_preservation_direction_consistency,eval_corrupted_edge_q_mass_n,eval_corrupted_edge_q_mass_mean_diff,eval_corrupted_edge_q_mass_wilcoxon_stat,eval_corrupted_edge_q_mass_wilcoxon_p,eval_corrupted_edge_q_mass_cliffs_delta,eval_corrupted_edge_q_mass_positive_seed_count,eval_corrupted_edge_q_mass_negative_seed_count,eval_corrupted_edge_q_mass_tie_seed_count,eval_corrupted_edge_q_mass_direction_consistency
noisy_affinity,blobs,block,0.15,jensen_shannon,kl,5,0.05890731707317072,0.0,0.0625,1.0,5,0,0,1.0,5,0.07250000000000001,0.0,0.0625,1.0,5,0,0,1.0,5,0.27288915514945983,0.0,0.0625,1.0,5,0,0,1.0,5,0.18333333333333332,0.0,0.0625,1.0,5,0,0,1.0,5,0.16250000000000006,0.0,0.0625,1.0,5,0,0,1.0,5,-0.54,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.004685550462454557,0.0,0.0625,-1.0,0,5,0,1.0
noisy_affinity,blobs,block,0.15,kl_capped,kl,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0
noisy_affinity,blobs,block,0.15,kl_smoothed,kl,5,-0.0001761517615176178,0.0,0.0625,-0.2,0,5,0,1.0,5,-0.00029999999999997807,2.0,0.75,-0.04,1,2,2,0.4,5,-0.00011107325553894043,0.0,0.0625,-0.2,0,5,0,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0002000000000000446,3.0,1.0,-0.04,1,2,2,0.4,5,-0.0016666666666666607,0.0,1.0,-0.04,0,1,4,0.8,5,4.259310662746429e-06,0.0,0.0625,0.2,5,0,0,1.0
noisy_affinity,blobs,block,0.2,fisher_rao,kl,5,0.04835609756097563,0.0,0.0625,1.0,5,0,0,1.0,5,0.052499999999999956,0.0,0.0625,1.0,5,0,0,1.0,5,0.19058037996292115,0.0,0.0625,1.0,5,0,0,1.0,5,0.1,0.0,0.0625,0.92,5,0,0,1.0,5,0.10919999999999996,0.0,0.0625,1.0,5,0,0,1.0,5,-0.3675,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.005296359956264496,0.0,0.0625,-1.0,0,5,0,1.0
noisy_affinity,blobs,block,0.2,fr_kl_hybrid,kl,5,0.02330189701897021,0.0,0.0625,0.68,5,0,0,1.0,5,0.02630000000000001,0.0,0.0625,1.0,5,0,0,1.0,5,0.09490200877189636,0.0,0.0625,1.0,5,0,0,1.0,5,0.039999999999999994,0.0,0.125,0.56,4,0,1,0.8,5,0.047499999999999945,0.0,0.0625,0.84,5,0,0,1.0,5,-0.17,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.003470488078892231,0.0,0.0625,-1.0,0,5,0,1.0
noisy_affinity,blobs,block,0.2,hellinger,kl,5,0.04723143631436313,0.0,0.0625,1.0,5,0,0,1.0,5,0.04779999999999999,0.0,0.0625,1.0,5,0,0,1.0,5,0.18331528902053834,0.0,0.0625,1.0,5,0,0,1.0,5,0.1,0.0,0.0625,0.92,5,0,0,1.0,5,0.10809999999999995,0.0,0.0625,1.0,5,0,0,1.0,5,-0.36375,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.005272200889885425,0.0,0.0625,-1.0,0,5,0,1.0
noisy_affinity,blobs,block,0.2,jensen_shannon,kl,5,0.06041897018970188,0.0,0.0625,1.0,5,0,0,1.0,5,0.06719999999999997,0.0,0.0625,1.0,5,0,0,1.0,5,0.25644668340682986,0.0,0.0625,1.0,5,0,0,1.0,5,0.1233333333333333,0.0,0.0625,1.0,5,0,0,1.0,5,0.14709999999999995,0.0,0.0625,1.0,5,0,0,1.0,5,-0.45875000000000005,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.006540914997458458,0.0,0.0625,-1.0,0,5,0,1.0
noisy_affinity,blobs,block,0.2,kl_capped,kl,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0
noisy_affinity,blobs,block,0.2,kl_smoothed,kl,5,0.00018048780487804893,4.0,0.4375,0.12,4,1,0,0.8,5,-0.00010000000000001119,1.0,1.0,0.0,1,1,3,0.6,5,-5.161762237548828e-06,5.0,0.625,-0.12,1,4,0,0.8,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0004999999999999449,1.0,1.0,0.0,1,1,3,0.6,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,8.456036448478699e-06,0.0,0.0625,0.2,5,0,0,1.0
noisy_affinity,blobs,block,0.3,fisher_rao,kl,5,0.03203848238482383,0.0,0.0625,0.68,5,0,0,1.0,5,0.03810000000000001,0.0,0.0625,1.0,5,0,0,1.0,5,0.1320355176925659,0.0,0.0625,1.0,5,0,0,1.0,5,0.0933333333333333,0.0,0.0625,0.84,5,0,0,1.0,5,0.05799999999999998,0.0,0.0625,1.0,5,0,0,1.0,5,-0.18166666666666664,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.009027907624840736,0.0,0.0625,-1.0,0,5,0,1.0
noisy_affinity,blobs,block,0.3,fr_kl_hybrid,kl,5,0.010183739837398353,0.0,0.0625,0.6,5,0,0,1.0,5,0.012699999999999989,3.0,0.3125,0.52,3,2,0,0.6,5,0.05959032773971558,0.0,0.0625,1.0,5,0,0,1.0,5,0.0533333333333333,1.0,0.125,0.68,4,1,0,0.8,5,0.01599999999999995,0.0,0.0625,0.6,5,0,0,1.0,5,-0.06333333333333332,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.0063029851764440535,0.0,0.0625,-1.0,0,5,0,1.0
noisy_affinity,blobs,block,0.3,hellinger,kl,5,0.032048780487804865,0.0,0.0625,0.68,5,0,0,1.0,5,0.038,0.0,0.0625,1.0,5,0,0,1.0,5,0.13198413848876953,0.0,0.0625,1.0,5,0,0,1.0,5,0.09666666666666664,0.0,0.0625,0.88,5,0,0,1.0,5,0.05779999999999996,0.0,0.0625,1.0,5,0,0,1.0,5,-0.18083333333333332,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.009028475731611252,0.0,0.0625,-1.0,0,5,0,1.0
