task,dataset,regularizer,beta,seed,eval_loss,eval_reconstruction,eval_regularization,eval_bce_per_pixel,eval_mse,eval_mean_norm,eval_variance_mean,eval_posterior_entropy_proxy,eval_active_units,eval_latent_knn_accuracy,eval_latent_linear_accuracy,eval_latent_silhouette,eval_aggregated_posterior_mmd,eval_sample_pixel_variance,eval_sample_test_mmd,eval_sample_test_nn_distance,eval_reconstruction_train_nn_distance,eval_noise_0.25_dropout_0_bce_per_pixel,eval_noise_0.25_dropout_0_mse,eval_noise_0.5_dropout_0_bce_per_pixel,eval_noise_0.5_dropout_0_mse,eval_noise_0_dropout_0.25_bce_per_pixel,eval_noise_0_dropout_0.25_mse,eval_noise_0_dropout_0.5_bce_per_pixel,eval_noise_0_dropout_0.5_mse,eval_stable,eval_completed_epochs,eval_max_grad_norm
vae,mnist,kl,1.0,505,256.1021423339844,235.39545440673828,20.706690311431885,0.30024929344654083,0.07351045496761799,5.768906474113464,2.608930289745331,0.8988251984119415,8.0,0.443359375,0.478515625,-0.14093196392059326,0.9576913118362427,0.0030393272172659636,0.48001718521118164,7.987296724691987,5.698890318162739,0.2987472638487816,0.07330789230763912,0.3036091849207878,0.07381171360611916,0.3029375895857811,0.07405282743275166,0.3186889514327049,0.07711796835064888,1.0,2,195.23619079589844
vae,mnist,kl,3.0,505,265.248046875,240.8080177307129,8.146678924560547,0.3071530759334564,0.07456253282725811,3.548617422580719,2.0260049402713776,0.6749128699302673,7.0,0.423828125,0.455078125,-0.12343055754899979,0.7139090895652771,0.0030996822752058506,0.47199201583862305,7.73777967877686,5.828575084917247,0.2981915771961212,0.07292644493281841,0.29558273404836655,0.07267028093338013,0.3186025321483612,0.07677842117846012,0.3374812826514244,0.08101630955934525,1.0,2,198.29795837402344
vae,mnist,fisher_rao,0.03,505,243.1716651916504,242.0836181640625,36.26830768585205,0.30878011137247086,0.07465421408414841,8.139280557632446,3.5314554572105408,1.13595911860466,8.0,0.416015625,0.474609375,-0.14588460326194763,1.1180918216705322,0.0030410822946578264,0.4870738983154297,8.051259372383356,5.669801766052842,0.31630297750234604,0.07541731745004654,0.327096089720726,0.07642108201980591,0.2989761456847191,0.07364446856081486,0.30475500226020813,0.0747644267976284,1.0,2,146.61854553222656
vae,mnist,fisher_rao,0.1,505,250.2735824584961,246.63240814208984,36.411683082580566,0.31458213925361633,0.07493447326123714,8.21876335144043,4.429936647415161,1.3262034356594086,8.0,0.443359375,0.509765625,-0.13469982147216797,1.1197434663772583,0.003055986948311329,0.4881405234336853,8.041427040472627,5.631429753266275,0.3255118727684021,0.07597246952354908,0.33962757140398026,0.07713324762880802,0.30159569531679153,0.0737763699144125,0.30469487607479095,0.07471328973770142,1.0,2,255.50772094726562
vae,mnist,fisher_rao,0.3,505,247.73620986938477,239.3314437866211,28.015889644622803,0.3052696958184242,0.07404063828289509,7.233439207077026,3.557395339012146,1.1870981752872467,8.0,0.423828125,0.4921875,-0.14443346858024597,1.0678385496139526,0.0030081782024353743,0.48453617095947266,8.071699177846313,5.682175793685019,0.3090545982122421,0.07442851923406124,0.3185940235853195,0.07520935870707035,0.3001042529940605,0.07371311075985432,0.30985191464424133,0.07561272382736206,1.0,2,162.69602966308594
vae,mnist,fisher_rao,1.0,505,264.6753463745117,242.86101150512695,21.814332485198975,0.30977169424295425,0.074564628303051,6.276729702949524,3.929874539375305,1.2775737941265106,8.0,0.427734375,0.494140625,-0.14074784517288208,0.9951878786087036,0.003055550390854478,0.4793992042541504,7.902201289311051,5.652400539256632,0.31088538467884064,0.07465614564716816,0.31929928809404373,0.07545378245413303,0.30446846038103104,0.07444908656179905,0.31405457109212875,0.07636606693267822,1.0,2,229.53158569335938
vae,fashion_mnist,kl,0.1,101,377.2918167114258,375.6462173461914,16.455957889556885,0.4791405722498894,0.08122891187667847,5.330573081970215,0.8605999648571014,-0.28037387505173683,8.0,0.603515625,0.66015625,-0.036201585084199905,0.5634034276008606,0.0033582213800400496,0.4532291293144226,5.450359845533967,4.268938459921628,0.48455671966075897,0.08330512046813965,0.4910585582256317,0.08584679663181305,0.48934104293584824,0.08449829369783401,0.5091306790709496,0.09108229540288448,1.0,2,129.5787353515625
vae,fashion_mnist,kl,0.3,101,381.96459197998047,378.0037536621094,13.20278787612915,0.4821476340293884,0.08241631276905537,4.750081777572632,0.9580354988574982,-0.1407826468348503,8.0,0.638671875,0.662109375,-0.03682719171047211,0.5194763541221619,0.003377373330295086,0.4515417218208313,5.415857678279281,4.333542390726507,0.48656369000673294,0.08399920724332333,0.4931422472000122,0.08646656014025211,0.4918465167284012,0.08538836985826492,0.5105612874031067,0.09160331450402737,1.0,2,120.50802612304688
vae,fashion_mnist,kl,1.0,101,385.58140563964844,377.66944885253906,7.91194748878479,0.4817212224006653,0.08221118524670601,3.6216410398483276,1.1177444458007812,0.04283333849161863,8.0,0.63671875,0.64453125,-0.0610441192984581,0.3868634104728699,0.0033969131764024496,0.4350593090057373,5.229423059150577,4.484969054814428,0.4899575337767601,0.08485811203718185,0.4984337314963341,0.08750433847308159,0.4908856824040413,0.08492700196802616,0.5072109028697014,0.09042988717556,1.0,2,109.36066436767578
vae,fashion_mnist,kl,3.0,101,393.89466857910156,384.06177520751953,3.2776315808296204,0.4898747056722641,0.08503411523997784,2.1790915727615356,1.3798554837703705,0.2796572670340538,8.0,0.6328125,0.6484375,-0.05214488133788109,0.26850712299346924,0.0028191455639898777,0.4278110861778259,4.94878114014864,4.7600650889799,0.49849769473075867,0.08781848847866058,0.5061229541897774,0.09031256660819054,0.49754295498132706,0.08733035065233707,0.5077435523271561,0.09095947816967964,1.0,2,50.371028900146484
