dataset,noise_regime,objective,seed,eval_accuracy,eval_ece,eval_brier,eval_nll
digits,sym_60,sce,2,0.4777777777777778,0.2841377193729082,0.7565765976905823,2.280477523803711
digits,sym_60,hellinger,2,0.4277777777777777,0.2750440297027429,0.8388851881027222,2.382901906967163
digits,sym_60,fisher_rao,2,0.4166666666666667,0.3129935208294127,0.8518227338790894,2.36031723022461
digits,sym_60,kl,3,0.5083333333333333,0.2041762334605057,0.6901276707649231,1.8518545627593992
digits,sym_60,gce,3,0.5305555555555556,0.2656078121728367,0.704166054725647,2.031870126724243
digits,sym_60,mae,3,0.6638888888888889,0.1968550636536545,0.526792585849762,1.6936224699020386
digits,sym_60,sce,3,0.5388888888888889,0.2517539015246762,0.6954216361045837,2.142904043197632
digits,sym_60,hellinger,3,0.4861111111111111,0.2559549011290074,0.7543090581893921,2.201554775238037
digits,sym_60,fisher_rao,3,0.4916666666666666,0.2570031576686435,0.7636556029319763,2.202949285507202
digits,sym_60,kl,4,0.45,0.2402217068605952,0.7596201300621033,2.02095890045166
digits,sym_60,gce,4,0.4944444444444444,0.2736745877398385,0.7525060176849365,2.296914339065552
digits,sym_60,mae,4,0.6305555555555555,0.2145438302722241,0.5697644352912903,1.796256184577942
digits,sym_60,sce,4,0.5,0.2880519822239875,0.7610273361206055,2.384253740310669
digits,sym_60,hellinger,4,0.4333333333333333,0.2884635403752327,0.8213107585906982,2.379432439804077
digits,sym_60,fisher_rao,4,0.45,0.2885155536234378,0.8193433284759521,2.389353036880493
digits,sym_60,kl,5,0.475,0.2120815340843465,0.748307466506958,1.8658199310302737
digits,sym_60,gce,5,0.5,0.2869067103498511,0.7565070986747742,2.0695300102233887
digits,sym_60,mae,5,0.7333333333333333,0.147521372553375,0.4301044046878814,1.1860251426696775
digits,sym_60,sce,5,0.4916666666666666,0.287099720703231,0.7643338441848755,2.134010076522827
digits,sym_60,hellinger,5,0.4333333333333333,0.302270804800921,0.8216446042060852,2.1298489570617676
digits,sym_60,fisher_rao,5,0.45,0.2646334078990751,0.8123957514762878,2.13830304145813
digits,sym_60,kl,6,0.4694444444444444,0.2203414086666372,0.7651885747909546,1.941133975982666
digits,sym_60,gce,6,0.5194444444444445,0.2520585305988788,0.7203232049942017,2.0122478008270264
digits,sym_60,mae,6,0.7416666666666667,0.1179585220913092,0.4044846296310425,1.15309476852417
digits,sym_60,sce,6,0.5166666666666667,0.2723964235848851,0.7428088784217834,2.175252676010132
digits,sym_60,hellinger,6,0.4527777777777778,0.2734818460212813,0.8135727047920227,2.24014663696289
digits,sym_60,fisher_rao,6,0.425,0.2990641190773911,0.821452260017395,2.268381118774414
digits,sym_60,kl,7,0.4833333333333333,0.2144332076112429,0.7325652241706848,2.0216071605682373
digits,sym_60,gce,7,0.5194444444444445,0.2513793180386225,0.7281760573387146,2.3508806228637695
digits,sym_60,mae,7,0.6222222222222222,0.2530661761760712,0.594983696937561,1.8381117582321167
digits,sym_60,sce,7,0.5222222222222223,0.2604448087513447,0.7373612523078918,2.2997589111328125
digits,sym_60,hellinger,7,0.4694444444444444,0.2627179901632998,0.7674564123153687,2.2833220958709717
digits,sym_60,fisher_rao,7,0.475,0.2644268929958343,0.7811903953552246,2.345210552215576
digits,sym_60,kl,8,0.4611111111111111,0.23402373732792,0.782442033290863,2.1350083351135254
digits,sym_60,gce,8,0.5166666666666667,0.2501359774006738,0.7126094102859497,2.2350854873657227
digits,sym_60,mae,8,0.7,0.1741826385259628,0.485962837934494,1.477288842201233
digits,sym_60,sce,8,0.525,0.2379889235728316,0.7136009931564331,2.180147409439087
digits,sym_60,hellinger,8,0.4333333333333333,0.2889296252694394,0.8076339960098267,2.3866288661956787
digits,sym_60,fisher_rao,8,0.4416666666666666,0.2970880078772703,0.8417065739631653,2.483642339706421
digits,sym_60,kl,9,0.4833333333333333,0.1876595089005099,0.720564603805542,1.916043043136597
digits,sym_60,gce,9,0.4888888888888889,0.2569718257420593,0.7424014806747437,2.112281560897827
digits,sym_60,mae,9,0.7222222222222222,0.1592258689304193,0.4488910138607025,1.271047830581665
digits,sym_60,sce,9,0.5,0.2528769272896978,0.7309122681617737,2.1098666191101074
digits,sym_60,hellinger,9,0.4805555555555555,0.2330933943390846,0.7262676954269409,2.048839569091797
digits,sym_60,fisher_rao,9,0.4611111111111111,0.2527900712357627,0.7697030901908875,2.1671345233917236
digits,sym_80,kl,0,0.2194444444444444,0.4208806636432807,1.096850872039795,3.345646858215332
digits,sym_80,gce,0,0.2388888888888889,0.4811880078580645,1.1792765855789185,3.987348794937134
digits,sym_80,mae,0,0.3277777777777778,0.4427038798729579,1.0634100437164309,3.831007480621338
digits,sym_80,sce,0,0.2444444444444444,0.4823330530689822,1.1478701829910278,3.964509487152099
digits,sym_80,hellinger,0,0.2361111111111111,0.4522047590050432,1.1423715353012085,3.794998168945313
digits,sym_80,fisher_rao,0,0.2222222222222222,0.4667590373092227,1.157947063446045,3.837346076965332
digits,sym_80,kl,1,0.2055555555555555,0.4359325725171301,1.1256674528121948,3.554590940475464
digits,sym_80,gce,1,0.2083333333333333,0.5088740372823345,1.2056149244308472,4.317830562591553
digits,sym_80,mae,1,0.2444444444444444,0.5026852534876929,1.1541815996170044,4.155848026275635
digits,sym_80,sce,1,0.2111111111111111,0.5081749959952302,1.2206196784973145,4.575227737426758
digits,sym_80,hellinger,1,0.2111111111111111,0.467325519853168,1.1606913805007937,3.897983074188232
digits,sym_80,fisher_rao,1,0.2138888888888888,0.4763965336812867,1.182861328125,4.0731377601623535
digits,sym_80,kl,2,0.1916666666666666,0.454795787193709,1.1506110429763794,3.5208425521850586
digits,sym_80,gce,2,0.2305555555555555,0.4686681651406817,1.1563389301300049,3.9256584644317623
digits,sym_80,mae,2,0.3055555555555556,0.4667896565463808,1.081748604774475,3.948228597640991
digits,sym_80,sce,2,0.2583333333333333,0.4418960431383715,1.1378226280212402,4.139391899108887
digits,sym_80,hellinger,2,0.2083333333333333,0.4744093729390038,1.1917881965637207,3.905348062515259
digits,sym_80,fisher_rao,2,0.1888888888888888,0.5014121198819743,1.2206000089645386,4.0593743324279785
digits,sym_80,kl,3,0.225,0.4128039498296049,1.104311466217041,3.654879331588745
digits,sym_80,gce,3,0.2083333333333333,0.5069325913985571,1.2050436735153198,4.495888710021973
digits,sym_80,mae,3,0.3222222222222222,0.460291408167945,1.114796757698059,4.368107795715332
digits,sym_80,sce,3,0.225,0.5062957806719675,1.187436819076538,4.531149864196777
digits,sym_80,hellinger,3,0.1944444444444444,0.4833185007174809,1.179027080535889,4.155485153198242
digits,sym_80,fisher_rao,3,0.2083333333333333,0.4756066881534126,1.1792621612548828,4.198939800262451
digits,sym_80,kl,4,0.2388888888888889,0.403610476023621,1.0866529941558838,3.367628335952759
digits,sym_80,gce,4,0.2583333333333333,0.4491009926630391,1.1276497840881348,3.9160170555114746
digits,sym_80,mae,4,0.2916666666666667,0.46925464388397,1.1084027290344238,3.995058298110962
digits,sym_80,sce,4,0.25,0.4845661681559351,1.1566412448883057,4.142571926116943
digits,sym_80,hellinger,4,0.2388888888888889,0.4391266319486829,1.130301833152771,3.7917230129241943
digits,sym_80,fisher_rao,4,0.25,0.4325087471968598,1.1228172779083252,3.7700276374816895
digits,sym_80,kl,5,0.1916666666666666,0.4462982432709799,1.1190428733825684,3.571546792984009
digits,sym_80,gce,5,0.2166666666666666,0.5065210055973794,1.1965616941452026,4.341620445251465
digits,sym_80,mae,5,0.2805555555555555,0.4932544772823651,1.1460552215576172,4.270503044128418
digits,sym_80,sce,5,0.2333333333333333,0.510315369317929,1.2125144004821775,4.665821075439453
digits,sym_80,hellinger,5,0.2138888888888888,0.4664190654953321,1.171172857284546,3.976226091384888
digits,sym_80,fisher_rao,5,0.2,0.4886928305029869,1.1881388425827026,4.045540809631348
