noise_regime,objective,seed,eval_accuracy,eval_ece,eval_brier,eval_nll
sym_60,sce,1,0.5195,0.26165358345210554,0.7003947496414185,1.7817689180374146
sym_60,hellinger,1,0.2595,0.11222311027348042,0.8663046956062317,2.1454710960388184
sym_60,fisher_rao,1,0.5325,0.14455429396033284,0.6327794194221497,1.463821530342102
asym_40,kl,1,0.533,0.15889880479872223,0.6596375703811646,1.421199083328247
asym_40,gce,1,0.3925,0.16281990015506742,0.7790132164955139,2.0042178630828857
asym_40,mae,1,0.2285,0.7311037043631077,1.4884592294692993,11.441335678100586
asym_40,sce,1,0.5475,0.2904758706092834,0.7143588662147522,2.0870282649993896
asym_40,hellinger,1,0.366,0.01774682465195657,0.7686170935630798,1.8211417198181152
asym_40,fisher_rao,1,0.633,0.06132723008096219,0.53753262758255,1.204593539237976
clean,kl,2,0.73,0.021021769650280457,0.3769393265247345,0.7853491306304932
clean,gce,2,0.506,0.26515879192948344,0.7292841672897339,1.9705605506896973
clean,mae,2,0.193,0.803714220046997,1.6101020574569702,14.727961540222168
clean,sce,2,0.7035,0.22042843003571033,0.504336416721344,1.8467572927474976
clean,hellinger,2,0.459,0.1813455223441124,0.7043180465698242,1.6154330968856812
clean,fisher_rao,2,0.7865,0.09184064520895482,0.324712872505188,0.78810715675354
sym_20,kl,2,0.6635,0.15855633939802646,0.48954230546951294,1.0828293561935425
sym_20,gce,2,0.45,0.2822675979733467,0.7745922803878784,2.003915309906006
sym_20,mae,2,0.195,0.7998376273810864,1.6018996238708496,14.575044631958008
sym_20,sce,2,0.6845,0.2271786197423935,0.5191403031349182,1.685085415840149
sym_20,hellinger,2,0.4265,0.12362446033209562,0.7243674397468567,1.6280356645584106
sym_20,fisher_rao,2,0.755,0.06647168985009194,0.3496624231338501,0.7690728902816772
sym_40,kl,2,0.558,0.2360230582654476,0.6480770707130432,1.4825115203857422
sym_40,gce,2,0.4135,0.20287040212750435,0.7782715559005737,1.8664610385894775
sym_40,mae,2,0.1925,0.8034310133159162,1.608487844467163,14.587984085083008
sym_40,sce,2,0.644,0.2252489169239998,0.5799957513809204,1.7063429355621338
sym_40,hellinger,2,0.349,0.019825965754687792,0.776199221611023,1.8388489484786987
sym_40,fisher_rao,2,0.6915,0.03229669670760633,0.4319388270378113,0.9399511814117432
sym_60,kl,2,0.4305,0.23360192900896073,0.7904382348060608,1.8773876428604126
sym_60,gce,2,0.278,0.022928714796900746,0.8307226300239563,2.018047571182251
sym_60,mae,2,0.171,0.771121985666454,1.5856431722640991,11.738926887512207
sym_60,sce,2,0.5405,0.24197324545681473,0.6986899375915527,1.7803709506988525
sym_60,hellinger,2,0.1705,0.047607962965965284,0.8884900808334351,2.245391607284546
sym_60,fisher_rao,2,0.5205,0.14279020690172914,0.6405680179595947,1.4732153415679932
asym_40,kl,2,0.5035,0.13671593920886518,0.6778912544250488,1.4683939218521118
asym_40,gce,2,0.371,0.2095904467254877,0.8228964805603027,2.090477466583252
asym_40,mae,2,0.1815,0.806363316565752,1.6183481216430664,13.876274108886719
asym_40,sce,2,0.493,0.34210442785918715,0.8139806985855103,2.4495513439178467
