dataset,noise_regime,objective,eval_accuracy_mean_diff,eval_accuracy_oriented_gain,eval_accuracy_wilcoxon_p,eval_accuracy_n_improves,eval_accuracy_n_pairs,eval_ece_mean_diff,eval_ece_oriented_gain,eval_ece_wilcoxon_p,eval_ece_n_improves,eval_ece_n_pairs,eval_brier_mean_diff,eval_brier_oriented_gain,eval_brier_wilcoxon_p,eval_brier_n_improves,eval_brier_n_pairs,eval_nll_mean_diff,eval_nll_oriented_gain,eval_nll_wilcoxon_p,eval_nll_n_improves,eval_nll_n_pairs
digits,sym_20,gce,0.062222222222222255,0.062222222222222255,0.001953125,10,10,-0.002837382521894259,0.002837382521894259,0.556640625,5,10,-0.08370367884635925,0.08370367884635925,0.001953125,10,10,-0.177119642496109,0.177119642496109,0.001953125,10,10
digits,sym_20,hellinger,0.0025000000000000135,0.0025000000000000135,0.515625,5,10,0.009835270792245849,-0.009835270792245849,0.048828125,2,10,0.004169756174087524,-0.004169756174087524,0.6953125,5,10,0.020201969146728515,-0.020201969146728515,0.130859375,4,10
digits,sym_20,mae,0.1041666666666667,0.1041666666666667,0.001953125,10,10,-0.009977190366221805,0.009977190366221805,0.013671875,9,10,-0.13840459361672403,0.13840459361672403,0.001953125,10,10,-0.30189638286828996,0.30189638286828996,0.001953125,10,10
digits,sym_20,sce,0.0563888888888889,0.0563888888888889,0.001953125,10,10,-0.0004932616485489791,0.0004932616485489791,1.0,5,10,-0.07658407986164092,0.07658407986164092,0.001953125,10,10,-0.1523437798023224,0.1523437798023224,0.001953125,10,10
digits,sym_40,fisher_rao,-0.03222222222222222,-0.03222222222222222,0.001953125,0,10,0.05070494011458422,-0.05070494011458422,0.001953125,0,10,0.04632495045661926,-0.04632495045661926,0.001953125,0,10,0.20419867038726808,-0.20419867038726808,0.001953125,0,10
digits,sym_40,gce,0.0627777777777778,0.0627777777777778,0.001953125,10,10,0.021044856305751536,-0.021044856305751536,0.00390625,1,10,-0.08533734083175659,0.08533734083175659,0.001953125,10,10,-0.11544795632362366,0.11544795632362366,0.00390625,9,10
digits,sym_40,hellinger,-0.028611111111111098,-0.028611111111111098,0.00390625,1,10,0.05362513494988282,-0.05362513494988282,0.001953125,0,10,0.0374710887670517,-0.0374710887670517,0.001953125,0,10,0.16262167692184448,-0.16262167692184448,0.001953125,0,10
digits,sym_40,mae,0.19583333333333336,0.19583333333333336,0.001953125,10,10,-0.030878383016420725,0.030878383016420725,0.001953125,10,10,-0.2776359900832176,0.2776359900832176,0.001953125,10,10,-0.6127003014087677,0.6127003014087677,0.001953125,10,10
digits,sym_40,sce,0.06111111111111113,0.06111111111111113,0.001953125,10,10,0.017879838769634553,-0.017879838769634553,0.013671875,2,10,-0.08473160862922668,0.08473160862922668,0.001953125,10,10,-0.11544232964515685,0.11544232964515685,0.001953125,10,10
digits,sym_60,fisher_rao,-0.019999999999999997,-0.019999999999999997,0.00390625,0,10,0.05990746742735307,-0.05990746742735307,0.001953125,0,10,0.057037895917892455,-0.057037895917892455,0.001953125,0,10,0.32506551742553713,-0.32506551742553713,0.001953125,0,10
digits,sym_60,gce,0.035555555555555576,0.035555555555555576,0.001953125,10,10,0.041438474311596835,-0.041438474311596835,0.001953125,0,10,-0.014008843898773193,0.014008843898773193,0.193359375,7,10,0.20949881076812743,-0.20949881076812743,0.001953125,0,10
digits,sym_60,hellinger,-0.01777777777777777,-0.01777777777777777,0.001953125,0,10,0.05120436848865617,-0.05120436848865617,0.001953125,0,10,0.04467131495475769,-0.04467131495475769,0.001953125,0,10,0.2847069501876831,-0.2847069501876831,0.001953125,0,10
digits,sym_60,mae,0.21083333333333334,0.21083333333333334,0.001953125,10,10,-0.039593844670388414,0.039593844670388414,0.013671875,9,10,-0.25338415801525116,0.25338415801525116,0.001953125,10,10,-0.49354043006896975,0.49354043006896975,0.001953125,10,10
digits,sym_60,sce,0.03472222222222223,0.03472222222222223,0.001953125,10,10,0.048863552854292926,-0.048863552854292926,0.001953125,0,10,-0.007884424924850465,0.007884424924850465,0.76953125,4,10,0.2777824640274048,-0.2777824640274048,0.001953125,0,10
digits,sym_80,fisher_rao,0.003611111111111109,0.003611111111111109,0.578125,6,10,0.04391978026264244,-0.04391978026264244,0.001953125,0,10,0.05612969398498535,-0.05612969398498535,0.001953125,0,10,0.4801664113998413,-0.4801664113998413,0.001953125,0,10
digits,sym_80,gce,0.014722222222222229,0.014722222222222229,0.01953125,8,10,0.055350937321782104,-0.055350937321782104,0.001953125,0,10,0.06076805591583252,-0.06076805591583252,0.001953125,0,10,0.648928451538086,-0.648928451538086,0.001953125,0,10
digits,sym_80,hellinger,0.001944444444444443,0.001944444444444443,0.7421875,5,10,0.03723285786807534,-0.03723285786807534,0.001953125,0,10,0.04736760854721069,-0.04736760854721069,0.001953125,0,10,0.42471287250518797,-0.42471287250518797,0.001953125,0,10
digits,sym_80,mae,0.07805555555555556,0.07805555555555556,0.001953125,10,10,0.04823677197512651,-0.04823677197512651,0.001953125,0,10,0.0048787474632263185,-0.0048787474632263185,0.375,2,10,0.6566896200180053,-0.6566896200180053,0.001953125,0,10
digits,sym_80,sce,0.01888888888888889,0.01888888888888889,0.02734375,8,10,0.06755071015407643,-0.06755071015407643,0.00390625,1,10,0.06893857717514038,-0.06893857717514038,0.00390625,1,10,0.8472552299499512,-0.8472552299499512,0.001953125,0,10
