dataset,noise_regime,objective,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_n,eval_ece_mean,eval_ece_std,eval_ece_n,eval_brier_mean,eval_brier_std,eval_brier_n,eval_nll_mean,eval_nll_std,eval_nll_n
digits,sym_20,hellinger,0.8647222222222222,0.023352799052660998,10,0.041778603941202155,0.010340956505272699,10,0.20081454366445542,0.0263724819689883,10,0.477120915055275,0.06870411221294608,10
digits,sym_20,kl,0.8622222222222222,0.00899626503814159,10,0.0319433331489563,0.009802806019692488,10,0.1966447874903679,0.015210911183177205,10,0.4569189459085464,0.04332889204781302,10
digits,sym_20,mae,0.966388888888889,0.00757337223951054,10,0.021966142782734503,0.008437867547513675,10,0.058240193873643875,0.01346309404866096,10,0.1550225630402565,0.04441565592864745,10
digits,sym_20,sce,0.9186111111111112,0.016462223455456865,10,0.03145007150040733,0.006392199882952015,10,0.12006070762872696,0.02186498694236038,10,0.30457516610622404,0.06784687078117826,10
digits,sym_40,fisher_rao,0.6680555555555555,0.02842607672779401,10,0.1345577552749051,0.029814349068767586,10,0.4881319969892502,0.04244931421888091,10,1.2515535473823547,0.1283335500408759,10
digits,sym_40,gce,0.7630555555555556,0.035356551498725526,10,0.1048976714660724,0.026347671925510897,10,0.35646970570087433,0.05261567209992738,10,0.931906920671463,0.1399638430442831,10
digits,sym_40,hellinger,0.6716666666666667,0.03294006695460615,10,0.1374779501102037,0.02805508434161121,10,0.4792781352996826,0.04056381969225064,10,1.2099765539169312,0.11861199080991189,10
digits,sym_40,kl,0.7002777777777778,0.029264240082384683,10,0.08385281516032086,0.0253770295010335,10,0.4418070465326309,0.0360217216088508,10,1.0473548769950867,0.08961830545770678,10
digits,sym_40,mae,0.8961111111111112,0.019867531121579754,10,0.052974432143900144,0.012905686220022018,10,0.1641710564494133,0.029594445851481764,10,0.434654575586319,0.054885586385867574,10
digits,sym_40,sce,0.7613888888888889,0.023803680940926948,10,0.10173265392995541,0.015213157855020977,10,0.35707543790340424,0.036205611828433286,10,0.9319125473499298,0.11461915401016867,10
digits,sym_60,fisher_rao,0.45138888888888884,0.02188204129277124,10,0.2806953314526214,0.020624944972883266,10,0.8088034808635711,0.029039878891031518,10,2.3141354084014893,0.11441903217314509,10
digits,sym_60,gce,0.5069444444444444,0.017822570884185346,10,0.2622263383368651,0.012791609215192219,10,0.7377567410469055,0.022961322337114058,10,2.1985687017440796,0.13227522059955973,10
digits,sym_60,hellinger,0.45361111111111113,0.02159810297517354,10,0.27199223251392446,0.019439446511918087,10,0.7964368999004364,0.03531089020606478,10,2.2737768411636354,0.11691196467199323,10
digits,sym_60,kl,0.47138888888888886,0.017423652782033425,10,0.22078786402526823,0.01676785434884364,10,0.7517655849456787,0.030797832335856323,10,1.989069890975952,0.09341844442399239,10
digits,sym_60,mae,0.6822222222222223,0.04130916590695906,10,0.18119401935487986,0.03707972669405159,10,0.49838142693042753,0.05937189500701012,10,1.4955294609069825,0.2396062280283542,10
digits,sym_60,sce,0.5061111111111112,0.020319802554585483,10,0.26965141687956123,0.01868128995543509,10,0.7438811600208283,0.027425518166823756,10,2.266852355003357,0.15178986868811825,10
digits,sym_80,fisher_rao,0.2202777777777778,0.01879652435548564,10,0.46482883723659646,0.02381362399028595,10,1.1606501817703248,0.031825696609467546,10,3.916664242744446,0.1732221694224894,10
digits,sym_80,gce,0.23138888888888887,0.016822828079179158,10,0.4762599942957362,0.026595402176296513,10,1.165288543701172,0.03690384674380185,10,4.085426282882691,0.25164848825357866,10
digits,sym_80,hellinger,0.21861111111111114,0.014584435584446607,10,0.4581419148420293,0.015246339137987269,10,1.15188809633255,0.02480796061604619,10,3.8612107038497925,0.14367046488196322,10
